dataset,sample_id,label,cv_count,misclassification_rate,boundary_entropy,true_class_confidence,boundary_hardness,hybrid_hardness,mean_fold_accuracy,same_label_fraction,label_entropy,label_margin,knn_density,local_spread,centroid_distance,pca_reconstruction_error,isolation_anomaly,feature_norm,H,B,S,V,R_resp,R_rob,D_H,D_B,D_S,D_V,D_R_rob,defect_mean,defect_max,defect_std,local_defect_mean,local_defect_max,local_defect_std,defect_tail_rank,hotspot_neighbor_fraction,maat_scalar_cost,maat_robustness_loss,label_disagreement,density_anomaly
wine,0,0,25.0,0.0,0.07682743285071267,0.9845060627801859,0.06712957286646148,0.015802010206561898,0.9802285714285714,1.0,0.0,1.0,0.6700804919612152,0.14551123144557954,0.2044295327129461,0.099491051516697,0.3055117203726493,0.49162037212855547,1.0,1.0,0.9722220495628049,0.6700804919612152,0.8750690522750768,0.8750690522750768,-0.0,-0.0,0.028171054559255632,0.40035743655748235,0.13345247885249417,0.11239619399384644,0.40035743655748235,0.15213462939924144,0.18136869341594358,0.32212393773051295,0.06515954758614799,0.12921348314606743,0.0,0.11239619399384644,0.12493094772492319,0.0,0.3299195080387848
wine,1,0,25.0,0.0,0.16619192871230049,0.9641075794762909,0.1623397922311899,0.038486517394346983,0.9802285714285714,1.0,0.0,1.0,0.5750641680453225,0.203551340773938,0.3056947642442067,0.07456113694069012,0.24396397259663583,0.3470857057987218,1.0,1.0,0.9745023240109589,0.5750641680453225,0.8315826810525984,0.8315826810525984,-0.0,-0.0,0.02582837521339507,0.5532736478106632,0.184424549270221,0.15270531445885588,0.5532736478106632,0.21175300865938865,0.24310522407895732,0.5870735862751787,0.10909389666454676,0.34831460674157305,0.0,0.15270531445885588,0.16841731894740164,0.0,0.42493583195467755
wine,2,0,25.0,0.0,0.1329168993532337,0.9717967712968669,0.12688809730358158,0.030025497369679074,0.9802285714285714,1.0,0.0,1.0,0.6099480522726524,0.18111747034945277,0.19876323948785465,0.06916998376165698,0.19572452362141327,0.3323929534099228,1.0,1.0,0.9986382964279131,0.6099480522726524,0.8480685335841727,0.8480685335841727,-0.0,-0.0,0.0013626315328966814,0.4943814856498832,0.164793828549961,0.1321075891465482,0.4943814856498832,0.19199470851857775,0.16419482740053912,0.27455182412538676,0.05422916707861281,0.2640449438202247,0.0,0.1321075891465482,0.15193146641582733,0.0,0.39005194772734764
wine,3,0,25.0,0.0,0.2346828784048733,0.9463035099221564,0.2353110352495419,0.056205746221419446,0.9802285714285714,1.0,0.0,1.0,0.5857257333906364,0.19654585301459848,0.32427953646508295,0.041308390368584115,0.5907858465872485,0.6921314453691019,1.0,1.0,0.9851141677211035,0.5857257333906364,0.8366903658228317,0.8366903658228317,-0.0,-0.0,0.01499773821082509,0.5349036307227669,0.17830121024092235,0.14564051583490287,0.5349036307227669,0.20595259096303367,0.1770762258704808,0.32212393773051295,0.0657614112816923,0.3146067415730337,0.0,0.14564051583490287,0.16330963417716826,0.0,0.4142742666093636
wine,4,0,25.0,0.0,0.8076081233811414,0.6183963466248718,0.8457138325558505,0.23191499230973273,0.9802285714285714,1.0,0.0,1.0,0.5482217691833947,0.22180311756171397,0.33330069248136956,0.022411290069911858,0.1484713232342967,0.17895455864204626,1.0,1.0,0.935281370410915,0.5482217691833947,0.818437321916979,0.818437321916979,-0.0,-0.0,0.06690786404331292,0.6010753856074761,0.20035846186915873,0.17366834230398956,0.6010753856074761,0.22587975965256882,0.3245108267717099,1.5076611375634303,0.35113966162358656,0.4157303370786517,0.07692307692307693,0.17366834230398956,0.18156267808302096,0.0,0.4517782308166053
wine,5,0,25.0,0.0,0.033210343794552226,0.9942229352437485,0.02065929877103121,0.0047668822597587935,0.9802285714285714,1.0,0.0,1.0,0.9030730194893736,0.0357932488852005,0.14692454029351143,0.023584670056063697,0.23167464496021895,0.4786956802485518,1.0,1.0,0.46545321213929713,0.9030730194893736,0.9665870132043698,0.805192507036501,-0.0,-0.0,0.7647436982955358,0.10195186561250807,0.21667389097701092,0.21667389097701095,0.7647436982955358,0.2854599120227335,0.17450754020984963,0.32212393773051295,0.06314559698740568,0.47752808988764045,0.0,0.21667389097701095,0.19480749296349897,0.0,0.09692698051062643
wine,6,0,25.0,0.0,0.07650629349775329,0.9853922811988126,0.06678742638035289,0.015595639040570004,0.9802285714285714,1.0,0.0,1.0,0.8128951150930318,0.07373835254919969,0.1311188990865725,0.1111518939609415,0.20964533563878945,0.3469682615979477,1.0,1.0,0.6845169880708173,0.8128951150930318,0.9332790233068029,0.863683625905704,-0.0,-0.0,0.37904181634272927,0.20715318748246506,0.14654875095629852,0.14654875095629855,0.37904181634272927,0.14190066666026324,0.18439741272670454,0.27444431735656194,0.0540949988243411,0.3258426966292135,0.0,0.14654875095629855,0.13631637409429598,0.0,0.1871048849069682
wine,7,0,25.0,0.0,0.20268876210515857,0.9555437907040343,0.20122404352080742,0.04778674475000776,0.9802285714285714,1.0,0.0,1.0,0.678321804829617,0.1409077228433974,0.18451102096411173,0.10331231466288403,0.24080833898406329,0.3384511901916281,1.0,1.0,0.9626508263380698,0.678321804829617,0.8786419327907564,0.8786419327907564,-0.0,-0.0,0.03806452240787798,0.3881334652551477,0.12937782175171586,0.11111516188294832,0.3881334652551477,0.14635724749868623,0.1778707395954497,0.27455182412538676,0.05782661187707811,0.08426966292134831,0.0,0.11111516188294832,0.12135806720924358,0.0,0.321678195170383
wine,8,0,25.0,0.0,0.06980189786272835,0.9866129108052389,0.059644466830652915,0.01394134815170743,0.9802285714285714,1.0,0.0,1.0,0.7053344058921341,0.1262498217772799,0.21064838753190765,0.06973976325690234,0.2290771218655236,0.38073957995063323,1.0,1.0,0.9229499974131371,0.7053344058921341,0.8901537443827863,0.8901537443827863,-0.0,-0.0,0.08018021993034825,0.349083254032191,0.11636108467739696,0.10912491172798724,0.349083254032191,0.128286130304782,0.24133119278773704,0.5724504333462912,0.10913633297233431,0.016853932584269662,0.0,0.10912491172798724,0.10984625561721373,0.0,0.29466559410786586
wine,9,0,25.0,0.0,0.28099652239455797,0.9195580885565873,0.2846542577600512,0.07044618673439305,0.9802285714285714,1.0,0.0,1.0,0.936297398020411,0.022990647992776395,0.11118614199034474,0.03783393279700146,0.16571590472792377,0.32120143751420377,1.0,1.0,0.39348690652517787,0.936297398020411,0.9782982398811018,0.7790871216737856,-0.0,-0.0,0.9327074860742743,0.06582212004317256,0.24963240152936175,0.24963240152936175,0.9327074860742743,0.3535563498207053,0.19469976185401267,0.32212393773051295,0.06289378373103953,0.6179775280898876,0.0,0.24963240152936175,0.22091287832621442,0.0,0.06370260197958899
