galaxy,family,r_kpc,v_obs_km_s,e_v_obs_km_s,v_gas_km_s,v_disk_km_s,v_bulge_km_s,upsilon_disk,upsilon_bulge,v_baryon_km_s,v_residual_km_s,residual_fraction,H,B,S_eff,V,R_resp,R_rob,D_struct,v_nfw_like_km_s,v_rar_km_s,nfw_fractional_residual,rar_sigma_residual
LSB_01,low_surface_brightness,0.7,8.482696006126737,3.0,1.2930624512489897,15.747592512135803,0.0,0.5,0.7,11.210055551466631,0.0,0.0,0.11814520288937624,0.4976217279321071,1.0806258158635042e-91,0.3250000000001203,0.2673414275612284,6.740910045641681e-24,0.0,3.273301529103889,25.21618726056743,0.14890326470115436,5.577830418146898
LSB_01,low_surface_brightness,1.406060606060606,16.252695145363,3.0,2.4993217061905697,28.119901701110756,0.0,0.5,0.7,20.04023564809309,0.0,0.0,0.1611890524255051,0.45126038159173765,1.0806258158635042e-91,0.32500000000016593,0.2870000923666126,7.109357636953638e-24,0.0,4.586153292238289,40.69517113460719,0.07962443345911044,8.14749199641473
LSB_01,low_surface_brightness,2.1121212121212123,26.22800933234106,3.0,3.614565318786946,37.55106207511319,0.0,0.5,0.7,26.797503874955954,0.0,0.0,0.694937153070529,0.49781490464849354,1.0806258158635042e-91,0.47253154510847045,0.546782673467942,1.1528688176672774e-23,0.0,5.55767221007485,52.41185121670996,0.04490091572183598,8.727947294789635
LSB_01,low_surface_brightness,2.8181818181818183,30.515189742599304,3.0,4.645660674401235,44.541621641019276,0.0,0.5,0.7,31.83646010955892,0.0,0.0,0.5305818459043059,0.5435000492734988,0.9921489652614112,0.41624798383347195,0.4932889332645653,0.4932889332645653,0.0,6.348628584681972,61.524348844278016,0.0432840301526619,10.336386367226238
LSB_01,low_surface_brightness,3.5242424242424244,35.92448472668482,3.0,5.5989569949192655,49.5172388481718,0.0,0.5,0.7,35.45880413951382,5.765571252998969,0.025757493092023864,1.0,0.46708539806631677,0.27490168787060587,0.5180816467743203,0.6231579874733872,0.5078587929681949,0.006777113759411659,7.022032005228042,68.64231306293695,0.012449645507577932,10.905942778750711
LSB_01,low_surface_brightness,4.2303030303030305,44.29617711722658,3.0,6.4803244356365175,52.83914146150012,0.0,0.5,0.7,37.92073364249851,22.894743222307365,0.2671400851156541,1.0,0.4118073318407476,0.2025971630417505,0.5445593882508197,0.6075468517818503,0.46168224271958197,0.06716259698482702,7.610628351395725,74.17041240033085,0.23762061651478358,9.958078427701423
LSB_01,low_surface_brightness,4.9363636363636365,49.54393784014619,3.0,7.2951902321753685,54.81318620761921,0.0,0.5,0.7,39.43935206921122,29.98565131974082,0.36630759970966054,1.0,0.5222114208503646,0.5419055371016284,0.5451068339929153,0.6578234193061521,0.6267046185323613,0.12513835769855672,8.13413598189508,78.40664647809183,0.3393524460061994,9.620902879315212
LSB_01,low_surface_brightness,5.642424242424243,52.031681650146545,3.0,8.048572120016077,55.697700966460694,0.0,0.5,0.7,40.19821463256469,33.036335082700354,0.40313267477491876,1.0,0.44942309088763116,0.5788677657141406,0.6411250670180657,0.6604896956991513,0.639064034093473,0.16517150809488967,8.605576915634842,81.5827330303401,0.37577845975235036,9.850350460064517
LSB_01,low_surface_brightness,6.348484848484849,56.58746045786441,3.0,8.745109232430474,55.71026816647776,0.0,0.5,0.7,40.35212417057587,39.671737496520045,0.491498317140367,1.0,0.4472072418473503,0.36476409833970025,0.4404518429924077,0.5818384528497436,0.5177317946702625,0.11207927247001663,9.03411618000048,83.88465914240565,0.4660106002401635,9.099066228180414
LSB_01,low_surface_brightness,7.054545454545455,64.15994300341984,3.0,9.389090667079945,55.03358781885478,0.0,0.5,0.7,40.03127424480075,50.13975836140053,0.6107121134888335,1.0,0.37407460449091123,0.5967595013514106,0.5139538306953559,0.5771571908413498,0.5771571908413498,0.18115684673386095,9.426512124239677,85.4647742109542,0.5891260166049161,7.101610402511454
LSB_01,low_surface_brightness,7.760606060606061,63.14776478607756,3.0,9.984481897183507,53.82054093822119,0.0,0.5,0.7,39.34482421102624,49.39256022197291,0.6117966728353045,1.0,0.5256466304508064,0.8882279298723748,0.6045426101481646,0.6824019625899929,0.6824019625899929,0.252391250139454,9.787929142939321,86.4496699857231,0.5877715471562631,7.767301733215182
LSB_01,low_surface_brightness,8.466666666666667,66.77675698276853,3.0,10.534949189889218,52.198558630574205,0.0,0.5,0.7,38.38397993940042,54.6425233416927,0.6695929085478881,1.0,0.4242159252528272,0.6096708669958489,0.5977923549161932,0.6329641430205617,0.6270586915214522,0.25099749896253576,10.122426007476175,86.94569535182781,0.646614572614882,6.722979456353092
LSB_01,low_surface_brightness,9.172727272727272,71.46529174867608,3.0,11.043882182211002,50.27338860828581,0.0,0.5,0.7,37.224644185464264,61.005030858028185,0.7286868970071887,1.0,0.46499256762245306,0.7201310668267187,0.514367484187809,0.6207353892587593,0.6207353892587593,0.23265959784498383,10.433265745204707,87.04301017140996,0.7073736216026192,5.19257280757796
LSB_01,low_surface_brightness,9.878787878787879,73.45035819226355,3.0,11.514414753547765,48.13233907576339,0.0,0.5,0.7,35.929692171918866,64.06256581657473,0.7607129714342102,1.0,0.5144944562549313,0.8365354649111583,0.3885620319740153,0.5847187499069282,0.5847187499069282,0.17283361101118544,10.723121117566354,86.818664697174,0.7393994805941907,4.456102168303484
LSB_01,low_surface_brightness,10.584848484848484,76.69437778134136,3.0677751112536544,11.949444323312424,45.847069605726645,0.0,0.5,0.7,34.55092061511698,68.47088043770863,0.7970485349731985,1.0,0.4232360960301965,0.8930659797915863,0.3250000000000414,0.5162047782174912,0.5162047782174912,0.1337180852229523,10.994215896144611,86.33898742121309,0.7764990252233818,3.143845063639765
LSB_01,low_surface_brightness,11.29090909090909,77.81007666571531,3.1124030666286124,12.351649692500727,43.47598960936205,0.0,0.5,0.7,33.13071213214307,70.40428924676083,0.8187033181753388,1.0,0.7079778415150306,0.9845197610873899,0.3250000000000814,0.6127749578149972,0.6127749578149972,0.16304628965885556,11.248424992410223,85.66145657185051,0.7978049802754504,2.522610259036883
