dataset_id,family,split,n_vars,n_clauses,alpha,H,B,S,V,R_resp,R_rob,cal_center_R,cal_mad_R,z_R,z_t,z_x,gate_signal,G_gate,G_hard,G_shuffled,degree_cv,literal_imbalance,clustering_mean,largest_component_frac,component_frac
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,100,160,1.6,0.9061097687421702,0.8429293832650114,0.10391396311128231,0.7399170940129377,0.82677059503959,0.49227439111054955,0.8028291729306438,0.030747978719669,-10.100006070364268,0.0,0.0,-10.100006070364268,4.107761841814248e-05,0,4.107761841814248e-05,0.18633899808616186,0.10361904759967981,0.2569059828941076,1.0,0.01
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,100,160,1.6,0.9008107296734087,0.8319997142669946,0.10391396311128231,0.7356477272682016,0.8199906022859779,0.48924357772769556,0.8028291729306438,0.030747978719669,-10.198575583239132,0.0,0.0,-10.198575583239132,3.722191691291002e-05,0,0.03429631491696159,0.20192348969857085,0.11011111109050908,0.24470779219486175,1.0,0.01
aim_aim-100-1_6-no-3,satlib_dimacs_aim,test,100,157,1.57,0.8924397603353574,0.8461759475792279,0.09871168011301977,0.7420462121168514,0.8244358084426017,0.48496430128094337,0.8028291729306438,0.030747978719669,-10.33774818858643,0.0,0.0,-10.33774818858643,3.238612151511056e-05,0,0.036841315093140335,0.18178731369148207,0.12052380949972913,0.26298917747671813,1.0,0.01
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,100,160,1.6,0.9152719665417378,0.8397867712553891,0.10391396311128231,0.73178243977875,0.8254682833752522,0.4916927113209335,0.8028291729306438,0.030747978719669,-10.118923729180203,0.0,0.0,-10.118923729180203,4.0307861328311855e-05,0,3.722191691291002e-05,0.19077846213879943,0.09257142855407073,0.23366411365357156,1.0,0.01
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,100,160,1.6,0.9189969804521566,0.8342349411237375,0.10391396311128231,0.7552652486340592,0.8334905001005897,0.49527221868195603,0.8028291729306438,0.030747978719669,-10.002509337286588,0.0,0.0,-10.002509337286588,4.528409810057287e-05,0,4.0307861328311855e-05,0.19870308794902844,0.08814285712667841,0.3007578532401689,1.0,0.01
dubois_dubois100,satlib_dimacs_dubois,test,300,396,1.32,1.0,0.548661452572583,0.06291617463012741,0.5871111109869259,0.685501247470405,0.37730865229491745,0.8028291729306438,0.030747978719669,-13.83897493478336,0.0,0.0,-13.83897493478336,9.76807816930188e-07,0,0.03492914847942184,0.8226175637292635,0.0,0.4455555552007407,0.6633333333333333,0.34
dubois_dubois20,satlib_dimacs_dubois,test,60,160,2.6666666666666665,1.0,1.0,0.44379720980625653,0.7744444444211112,0.9183257373999008,0.7656736633022754,0.8028291729306438,0.030747978719669,-1.2083886475507413,0.0,0.0,-1.2083886475507413,0.22998628537476795,0,0.8429594296192963,0.0,0.0,0.3555555554888889,1.0,0.016666666666666666
dubois_dubois21,satlib_dimacs_dubois,test,63,168,2.6666666666666665,1.0,1.0,0.44379720980625653,0.774074074050926,0.9181793206663974,0.7655821029224094,0.8028291729306438,0.030747978719669,-1.211366416519655,0.0,0.0,-1.211366416519655,0.2294593685946946,0,0.4893346867267158,0.0,0.0,0.354497354431217,1.0,0.015873015873015872
dubois_dubois22,satlib_dimacs_dubois,test,66,176,2.6666666666666665,1.0,1.0,0.44379720980625653,0.773737373714394,0.9180461740113645,0.7654988376971243,0.8028291729306438,0.030747978719669,-1.214074406639466,0.0,0.0,-1.214074406639466,0.22898092571905138,0,0.8592319140883858,0.0,0.0,0.35353535346969694,1.0,0.015151515151515152
dubois_dubois23,satlib_dimacs_dubois,test,69,184,2.6666666666666665,1.0,1.0,0.44379720980625653,0.7734299516679952,0.9179245715875707,0.7654227891893935,0.8028291729306438,0.030747978719669,-1.216547691337327,0.0,0.0,-1.216547691337327,0.2285445633357869,0,4.528409810057287e-05,0.0,0.0,0.3526570047657005,1.0,0.014492753623188406
