source_domain,target_domain,transfer,fit_rule,null_id,spearman
SAT,Quantum,SAT->Quantum,equal,0,0.023186354312588694
SAT,Quantum,SAT->Quantum,equal,1,-0.012938776099958398
SAT,Quantum,SAT->Quantum,equal,2,-0.009410546867333272
SAT,Quantum,SAT->Quantum,equal,3,0.004853374437010159
SAT,Quantum,SAT->Quantum,equal,4,-0.022875833191030117
SAT,Quantum,SAT->Quantum,equal,5,0.0038089780368845048
SAT,Quantum,SAT->Quantum,equal,6,-0.01969588415010133
SAT,Quantum,SAT->Quantum,equal,7,-0.01639296805540264
SAT,Quantum,SAT->Quantum,equal,8,-0.014133657130444316
SAT,Quantum,SAT->Quantum,equal,9,-0.02175618733869751
SAT,Quantum,SAT->Quantum,equal,10,0.006456334987689155
SAT,Quantum,SAT->Quantum,equal,11,-0.008129771019339907
SAT,Quantum,SAT->Quantum,equal,12,0.003578360828554237
SAT,Quantum,SAT->Quantum,equal,13,0.030305020223150344
SAT,Quantum,SAT->Quantum,equal,14,-0.008870785563795907
SAT,Quantum,SAT->Quantum,equal,15,-0.01265180352842711
SAT,Quantum,SAT->Quantum,equal,16,0.01647948869220316
SAT,Quantum,SAT->Quantum,equal,17,0.0011439117435263233
SAT,Quantum,SAT->Quantum,equal,18,0.010933111189874969
SAT,Quantum,SAT->Quantum,equal,19,0.004825543950773268
SAT,Quantum,SAT->Quantum,equal,20,0.018697564675019863
SAT,Quantum,SAT->Quantum,equal,21,-0.03740653459878417
SAT,Quantum,SAT->Quantum,equal,22,0.012966930131411206
SAT,Quantum,SAT->Quantum,equal,23,-0.00542359825032289
SAT,Quantum,SAT->Quantum,equal,24,-0.0010286666728940726
SAT,Quantum,SAT->Quantum,equal,25,0.05136616442639243
SAT,Quantum,SAT->Quantum,equal,26,0.00760277659731121
SAT,Quantum,SAT->Quantum,equal,27,-0.0030156493657089866
SAT,Quantum,SAT->Quantum,equal,28,-0.004115484510885033
SAT,Quantum,SAT->Quantum,equal,29,0.009265959940078363
SAT,Quantum,SAT->Quantum,equal,30,-0.005447690893689053
SAT,Quantum,SAT->Quantum,equal,31,0.020197858115277047
SAT,Quantum,SAT->Quantum,equal,32,0.004595645483026454
SAT,Quantum,SAT->Quantum,equal,33,-0.0002013131359672531
SAT,Quantum,SAT->Quantum,equal,34,0.0006692376056520495
SAT,Quantum,SAT->Quantum,equal,35,-0.02055062175923443
SAT,Quantum,SAT->Quantum,equal,36,0.0005390585163079838
SAT,Quantum,SAT->Quantum,equal,37,-0.012779354792483774
SAT,Quantum,SAT->Quantum,equal,38,-0.004315446649657453
SAT,Quantum,SAT->Quantum,equal,39,-0.00038524495273136643
SAT,Quantum,SAT->Quantum,equal,40,0.021085163237272806
SAT,Quantum,SAT->Quantum,equal,41,0.010784160320572856
SAT,Quantum,SAT->Quantum,equal,42,-0.025090372007377307
SAT,Quantum,SAT->Quantum,equal,43,-0.024836995520221214
SAT,Quantum,SAT->Quantum,equal,44,0.0028044994475976224
SAT,Quantum,SAT->Quantum,equal,45,-0.0019785276950401616
SAT,Quantum,SAT->Quantum,equal,46,-0.015251980813572779
SAT,Quantum,SAT->Quantum,equal,47,0.0012929622513205338
SAT,Quantum,SAT->Quantum,equal,48,-0.008417986553071789
SAT,Quantum,SAT->Quantum,equal,49,0.003234329546825736
SAT,Quantum,SAT->Quantum,equal,50,-0.015322703151707548
SAT,Quantum,SAT->Quantum,equal,51,0.013038073694070158
SAT,Quantum,SAT->Quantum,equal,52,-0.015420094180065999
