scenario,shuffle_id,F_diag,globality,locality,delta_F_vs_real,delta_globality_vs_real,delta_locality_vs_real
standard_model_like_noise,0,3.983338887832053,0.007408201351289834,0.6393898256952599,0.6708532417259478,1.1102230246251565e-16,0.0
standard_model_like_noise,1,4.309093656638839,0.007408201351289723,0.6393898256952599,0.996608010532734,0.0,0.0
standard_model_like_noise,2,3.835940470484659,0.007408201351289723,0.6393898256952599,0.523454824378554,0.0,0.0
standard_model_like_noise,3,3.051476537933916,0.007408201351289723,0.6393898256952599,-0.26100910817218903,0.0,0.0
standard_model_like_noise,4,3.4425500383122287,0.007408201351289723,0.6393898256952598,0.13006439220612354,0.0,-1.1102230246251565e-16
standard_model_like_noise,5,3.843862270195416,0.007408201351289834,0.6393898256952598,0.5313766240893107,1.1102230246251565e-16,-1.1102230246251565e-16
standard_model_like_noise,6,2.880058371467609,0.007408201351289723,0.6393898256952599,-0.43242727463849606,0.0,0.0
standard_model_like_noise,7,3.764418029724083,0.007408201351289723,0.6393898256952599,0.4519323836179776,0.0,0.0
standard_model_like_noise,8,4.058999292790458,0.007408201351289834,0.6393898256952598,0.7465136466843525,1.1102230246251565e-16,-1.1102230246251565e-16
standard_model_like_noise,9,2.703324926842268,0.007408201351289723,0.6393898256952598,-0.6091607192638371,0.0,-1.1102230246251565e-16
standard_model_like_noise,10,3.2211408416097527,0.007408201351289723,0.6393898256952599,-0.09134480449635252,0.0,0.0
standard_model_like_noise,11,3.498819178058102,0.007408201351289723,0.6393898256952599,0.18633353195199698,0.0,0.0
standard_model_like_noise,12,4.064068159818504,0.007408201351289723,0.6393898256952599,0.7515825137123988,0.0,0.0
standard_model_like_noise,13,4.633679301749362,0.007408201351289723,0.6393898256952599,1.321193655643257,0.0,0.0
standard_model_like_noise,14,3.9794191541775144,0.007408201351289723,0.6393898256952599,0.6669335080714092,0.0,0.0
standard_model_like_noise,15,3.9733091138840217,0.007408201351289723,0.6393898256952599,0.6608234677779166,0.0,0.0
standard_model_like_noise,16,3.8889145290845133,0.007408201351289723,0.6393898256952599,0.5764288829784081,0.0,0.0
standard_model_like_noise,17,4.306961600568901,0.007408201351289723,0.6393898256952599,0.9944759544627955,0.0,0.0
standard_model_like_noise,18,4.21233758956699,0.007408201351289945,0.6393898256952598,0.8998519434608845,2.220446049250313e-16,-1.1102230246251565e-16
standard_model_like_noise,19,4.884339003638695,0.007408201351289723,0.6393898256952598,1.5718533575325901,0.0,-1.1102230246251565e-16
standard_model_like_noise,20,4.591732642937886,0.007408201351289723,0.6393898256952599,1.2792469968317812,0.0,0.0
standard_model_like_noise,21,3.2261579205268993,0.007408201351289723,0.6393898256952598,-0.08632772557920587,0.0,-1.1102230246251565e-16
standard_model_like_noise,22,4.166751997905079,0.007408201351289723,0.6393898256952599,0.8542663517989739,0.0,0.0
standard_model_like_noise,23,3.6246786039149974,0.007408201351289723,0.6393898256952599,0.3121929578088922,0.0,0.0
standard_model_like_noise,24,3.78548884364597,0.007408201351289723,0.6393898256952599,0.47300319753986475,0.0,0.0
standard_model_like_noise,25,4.049979536781256,0.007408201351289834,0.6393898256952599,0.7374938906751511,1.1102230246251565e-16,0.0
standard_model_like_noise,26,3.936040044039088,0.007408201351289723,0.6393898256952599,0.623554397932983,0.0,0.0
standard_model_like_noise,27,3.7124345272864243,0.007408201351289723,0.6393898256952598,0.3999488811803191,0.0,-1.1102230246251565e-16
standard_model_like_noise,28,3.572292457688541,0.007408201351289723,0.6393898256952598,0.2598068115824357,0.0,-1.1102230246251565e-16
standard_model_like_noise,29,6.436158351249575,0.007408201351289723,0.6393898256952599,3.12367270514347,0.0,0.0
standard_model_like_noise,30,4.247654899774098,0.007408201351289723,0.6393898256952598,0.9351692536679925,0.0,-1.1102230246251565e-16
standard_model_like_noise,31,3.7319949225514835,0.007408201351289723,0.6393898256952598,0.4195092764453783,0.0,-1.1102230246251565e-16
standard_model_like_noise,32,3.6038952027475633,0.007408201351289723,0.6393898256952599,0.29140955664145807,0.0,0.0
