scenario,q2,P5prime,BR,FL
standard_model_like_noise,0.5,0.006442210235743575,0.534810411420391,0.3142988064315269
standard_model_like_noise,1.1,0.14417260757928957,0.2853523783758311,0.21901269452977645
standard_model_like_noise,2.0,0.06830747916352357,0.23605043064080414,0.2437176353636286
standard_model_like_noise,3.2,-0.0032318518444189774,-0.2092728267704973,-0.29545193978489653
standard_model_like_noise,4.4,-0.014815764901532408,-0.12338749887275725,0.2911944137662108
standard_model_like_noise,5.6,-0.04318670493658527,-0.11080657747408017,0.1639567054023947
standard_model_like_noise,6.8,0.10889148551486348,-0.06624066023761283,0.1330463026278983
standard_model_like_noise,8.2,-0.006100990432658447,-0.1212179679276593,-0.3587516235992566
standard_model_like_noise,11.2,-0.2139066757078622,-0.015273785471840592,-0.2119401546155325
standard_model_like_noise,12.4,0.010293829745792876,-0.10240995813713145,-0.240340649856876
standard_model_like_noise,15.2,0.10799154916241399,-0.20550994721171933,-0.020062246955797093
standard_model_like_noise,17.4,0.001159266061551639,-0.1821726854945248,0.2242467282072292
coherent_wilson_shift,0.5,-1.1388283928574705,-0.6495692974880671,0.33001424986154
coherent_wilson_shift,1.1,-1.1668008041256244,-0.615592281945216,0.35183428651758275
coherent_wilson_shift,2.0,-1.2518833229607844,-0.6359951290385429,0.3751958424511942
coherent_wilson_shift,3.2,-1.1801957961702536,-0.6835571275712303,0.3385183995724729
coherent_wilson_shift,4.4,-1.280329569597322,-0.5803988486626733,0.3622193722516024
coherent_wilson_shift,5.6,-1.3037027745125616,-0.6735276296480008,0.39562735273662564
coherent_wilson_shift,6.8,-1.2392547687954956,-0.6540464763358578,0.3776477373661881
coherent_wilson_shift,8.2,-1.0317907436017992,-0.7787469337287937,0.48328857741866404
coherent_wilson_shift,11.2,-1.1301187449585186,-0.6521996814912842,0.4750111100164309
coherent_wilson_shift,12.4,-1.2588884224222217,-0.5612813371283027,0.493390718888505
coherent_wilson_shift,15.2,-1.1685578719835348,-0.5512207578516642,0.39710077929155285
coherent_wilson_shift,17.4,-1.1598295000307757,-0.47186409022130216,0.3671387340032167
localized_charm_like_projection,0.5,0.03922840397416229,-0.07407975306908361,0.1216418517684935
localized_charm_like_projection,1.1,-0.04855288863971361,0.06843107577625868,0.017315636298286335
localized_charm_like_projection,2.0,0.04172048385872882,0.1268154431164044,-0.09542942797998226
localized_charm_like_projection,3.2,-0.024261267393621357,-0.014638771945943676,-0.0038501112967445116
localized_charm_like_projection,4.4,0.10434135631311577,0.048971921891751986,-0.020519670414019357
localized_charm_like_projection,5.6,0.07507339772531914,0.02115652012228057,0.1167143779170583
localized_charm_like_projection,6.8,-0.3373957743881158,-0.12020302702064348,0.05524833988062202
localized_charm_like_projection,8.2,-1.7190224386864534,-0.9397127403481685,0.584643867573927
localized_charm_like_projection,11.2,0.12290113210010342,0.06341812258263017,-0.11589871523650075
localized_charm_like_projection,12.4,0.7477615579431024,0.3116186351263745,-0.2527892738893823
localized_charm_like_projection,15.2,-0.06292026174302677,-0.1284043623244632,-0.14460829314858822
localized_charm_like_projection,17.4,0.030120236491853757,-0.07105672171315588,0.15210876264060053
mixed_coherent_plus_local,0.5,-0.6896236108321517,-0.39425396881145314,0.25831215388357254
mixed_coherent_plus_local,1.1,-0.6160925547027302,-0.39860520080040573,0.21632852172949382
mixed_coherent_plus_local,2.0,-0.7190735310740729,-0.3027969097631594,0.16864827911283886
mixed_coherent_plus_local,3.2,-0.6572430626193618,-0.4314971408230954,0.11907910315397209
mixed_coherent_plus_local,4.4,-0.6084380015513462,-0.21592237559615715,0.30362120030594486
mixed_coherent_plus_local,5.6,-0.5890079332576953,-0.306209898228131,0.22744992822360888
mixed_coherent_plus_local,6.8,-0.8111637532134282,-0.540457678577457,0.2285408014965888
mixed_coherent_plus_local,8.2,-1.3964642969470245,-0.8380370340617345,0.5137233699995352
mixed_coherent_plus_local,11.2,-0.5878660171070924,-0.34732239817913124,0.17560738050672514
mixed_coherent_plus_local,12.4,-0.3669416558524653,-0.16681964511182254,0.14771488290934248
mixed_coherent_plus_local,15.2,-0.7516575648384547,-0.3855350950622664,0.20056806572416
mixed_coherent_plus_local,17.4,-0.6910564902939033,-0.2662468799375198,0.23114985489446283
