d_H,d_B,d_S,d_V,d_R,label,source,min_margin,violation,boundary_stress,safety_lambda
0.19433933463595088,0.22429266110760138,0.22992478960984553,0.233241874664461,0.01355113726814298,safe,maat_core_boundary,0.14574952214151504,0.0,0.05420454907257192,1000000.0
0.23320262271539993,0.24962675007063517,0.3004064030944129,0.2988690938704618,0.00818369070497528,safe,maat_core_boundary,0.17096588412871427,0.0,0.03273476281990112,1000000.0
0.14769456185104735,0.20467654830513304,0.25789328608583184,0.26715473979578575,0.022360923509095517,safe,maat_core_boundary,0.12070729842951711,0.0,0.08944369403638207,1000000.0
0.20892221913580988,0.21335692234264536,0.25795319949691664,0.2641252615317826,0.011569360190489594,safe,maat_core_boundary,0.15365503385963286,0.0,0.046277440761958374,1000000.0
0.19370116391163283,0.177233332603826,0.2507730362208561,0.25511479367818024,0.029973940332416682,safe,maat_core_boundary,0.10605662846430464,0.0,0.11989576132966673,1000000.0
0.19226796714099292,0.1809771331334028,0.3321331700901352,0.2078923695544106,0.009416113823989717,safe,maat_core_boundary,0.16395192298090944,0.0,0.03766445529595887,1000000.0
0.23648868870804785,0.1784445337602214,0.32078306356826514,0.25492858321234935,0.02469346842047007,safe,maat_core_boundary,0.11574610728080026,0.0,0.09877387368188029,1000000.0
0.16774286568365993,0.23759685369071504,0.31468465335773355,0.17024570934667682,0.008729521324774472,safe,maat_core_boundary,0.1677375190291115,0.0,0.03491808529909789,1000000.0
0.2010630416443805,0.20273473829658017,0.2829561029131348,0.2555535839203287,0.006999322934145515,safe,maat_core_boundary,0.17878237485892345,0.0,0.02799729173658206,1000000.0
0.21908717618367324,0.211095541233133,0.2835149129805582,0.2584493419571515,0.009930896508592016,safe,maat_core_boundary,0.16129050805206702,0.0,0.03972358603436806,1000000.0
0.18221747843331904,0.21268488467029478,0.32772050346348336,0.2581215638804645,0.01264072214043016,safe,maat_core_boundary,0.14922686997061618,0.0,0.05056288856172064,1000000.0
0.2175161727028614,0.2095082180140816,0.23954434992163365,0.25084805652181585,0.010109309493328476,safe,maat_core_boundary,0.16040020932682064,0.0,0.0404372379733139,1000000.0
0.18759285696005867,0.23399452365122841,0.32930836485698145,0.26805875245102373,0.017877827934625102,safe,maat_core_boundary,0.13189498178312864,0.0,0.07151131173850041,1000000.0
0.18243820880556028,0.23716893336719813,0.35642714606860504,0.2987450095484231,0.0065058172730975,safe,maat_core_boundary,0.18243820880556028,0.0,0.02602326909239,1000000.0
0.23867798113142047,0.19168673419456905,0.314710133574009,0.2988273643256749,0.010933383852315594,safe,maat_core_boundary,0.1564820035256156,0.0,0.04373353540926238,1000000.0
0.21350113499338863,0.18353568859381153,0.3089718915076243,0.23606679344131787,0.03248731431613654,safe,maat_core_boundary,0.10203056167294522,0.0,0.12994925726454615,1000000.0
0.19887896510952885,0.1941226738620505,0.29320416030181806,0.17402787490842386,0.0282557880262576,safe,maat_core_boundary,0.1090081297685409,0.0,0.1130231521050304,1000000.0
0.2374663020425185,0.21480726752965784,0.3156729763776259,0.2330682369643431,0.017351086886221702,safe,maat_core_boundary,0.13339028843462375,0.0,0.06940434754488681,1000000.0
0.2028147301106008,0.1409713349423296,0.3248105349418926,0.23274138110084985,0.022689470839452205,safe,maat_core_boundary,0.11997799703267475,0.0,0.09075788335780882,1000000.0
0.19649318979917563,0.15114452816167623,0.3419819226177018,0.27922630565864104,0.019152741291760346,safe,maat_core_boundary,0.12845075320427746,0.0,0.07661096516704138,1000000.0
0.220449405544484,0.16724693619075837,0.2579021789053014,0.23177150819110792,0.03052353213372615,safe,maat_core_boundary,0.10514814931844652,0.0,0.1220941285349046,1000000.0
0.2217691894431374,0.2181045285422235,0.31457462172746875,0.2720621734121139,0.008573032753206629,safe,maat_core_boundary,0.1686419683832956,0.0,0.034292131012826514,1000000.0
0.21375579510802467,0.1856614647207725,0.33321727346935004,0.2589710718629331,0.007417184039574005,safe,maat_core_boundary,0.17588307211031418,0.0,0.02966873615829602,1000000.0
0.20449345724814805,0.2557542508144176,0.2687030828538324,0.2756016093933328,0.019770948144741892,safe,maat_core_boundary,0.1268623661533419,0.0,0.07908379257896757,1000000.0
0.22472428026364966,0.18405244733967696,0.2868163690972575,0.2800518233100604,0.012520591776357944,safe,maat_core_boundary,0.14970431434125275,0.0,0.05008236710543178,1000000.0
0.20262672766036127,0.16212154473033646,0.27293192816892786,0.2523855183438386,0.04557995239868235,safe,maat_core_boundary,0.08509964691959226,0.0,0.1823198095947294,1000000.0
0.21401449185348875,0.22877510302293513,0.34787316067029705,0.26507879554418734,0.04598583833511404,safe,maat_core_boundary,0.08465637155263006,0.0,0.18394335334045617,1000000.0
0.24948248550233332,0.20015423504944507,0.35073292510015797,0.22278688180488793,0.013704257013293655,safe,maat_core_boundary,0.14518772011988335,0.0,0.05481702805317462,1000000.0
0.18832433109965074,0.19835962936056706,0.30798363085899194,0.22825048873935627,0.020227101375296257,safe,maat_core_boundary,0.1257218780211936,0.0,0.08090840550118503,1000000.0
0.17391786540644727,0.20072189362793935,0.31174122556299433,0.24780349480889718,0.03424710595408758,safe,maat_core_boundary,0.09939294272075083,0.0,0.13698842381635032,1000000.0
0.2308982851564343,0.22365067852325426,0.32686109202868563,0.17131546071933157,0.01169077156012362,safe,maat_core_boundary,0.1531330571417424,0.0,0.04676308624049448,1000000.0
0.18724631050893015,0.21767021184425772,0.34354787671102327,0.2488012320078531,0.014376480008801663,safe,maat_core_boundary,0.14279336896722628,0.0,0.05750592003520665,1000000.0
0.18177450803965844,0.24957613252196298,0.29380085693998725,0.27408345275104495,0.008523858112159536,safe,maat_core_boundary,0.1689295924725971,0.0,0.03409543244863814,1000000.0
0.22315733628182566,0.19484996954968448,0.2946568440048949,0.22900430012208006,0.025499554546547298,safe,maat_core_boundary,0.11413999673066488,0.0,0.10199821818618919,1000000.0
0.17075564675531807,0.18467503650529637,0.31144638943816183,0.2806860207768085,0.011240830580121482,safe,maat_core_boundary,0.15509540905491015,0.0,0.04496332232048593,1000000.0
0.20427741240563757,0.2391854179251025,0.2965206024805248,0.25850791434040943,0.016803526921922347,safe,maat_core_boundary,0.13499360588288822,0.0,0.06721410768768939,1000000.0
