dataset_id,family,split,n_vars,n_clauses,alpha,H,B,S,V,R_resp,R_rob,G_gate,G_72,G_shuffled_L,L_star,L_star_shuffled,O_raw,D_raw,O_hat,D_hat,O_res,D_res,z_O_res,z_D_res,cal_center_R,cal_mad_R,z_R,degree_cv,literal_imbalance,clustering_mean,largest_component_frac,component_frac
aim_aim-100-1_6-no-1,satlib_dimacs_aim,test,100,160,1.6,0.9061097687421702,0.8429293832650114,0.10391396311128231,0.7399170940129377,0.82677059503959,0.49227439111054955,0.012855279806752431,0.012855279802995095,0.012855279802995095,-2.9608550333737327e-10,-2.9608550333737327e-10,0.18633899812494367,0.18633899808616186,0.18593530659785312,0.1859353065601611,0.00040369152709054945,0.00040369152600075453,0.22551880357891818,0.22551880298674717,0.7656736633022754,0.06297981211832504,-4.3410620481643925,0.18633899808616186,0.10361904759967981,0.2569059828941076,1.0,0.01
aim_aim-100-1_6-no-2,satlib_dimacs_aim,test,100,160,1.6,0.9008107296734087,0.8319997142669946,0.10391396311128231,0.7356477272682016,0.8199906022859779,0.48924357772769556,0.01225869169872339,0.012258691691945331,0.012258691691810632,-5.597806662649418e-10,-5.70905239749564e-10,0.20192348974077204,0.20192348969857085,0.19924383103717955,0.19924383099718027,0.0026796587035924913,0.002679658701390586,1.4969683143695696,1.4969683132500082,0.7656736633022754,0.06297981211832504,-4.389185617938016,0.20192348969857085,0.11011111109050908,0.24470779219486175,1.0,0.01
aim_aim-100-1_6-no-3,satlib_dimacs_aim,calibration,100,157,1.57,0.8924397603353574,0.8461759475792279,0.09871168011301977,0.7420462121168514,0.8244358084426017,0.48496430128094337,0.011462651006492956,0.011462651006458555,0.011462651001134656,-3.0354538327337366e-12,-4.728781255458614e-10,0.18178731373012155,0.18178731369148207,0.18165250181900716,0.18165250178038847,0.00013481191111439084,0.0001348119110936019,0.07531151600287371,0.0753115159968028,0.7656736633022754,0.06297981211832504,-4.45713241394694,0.18178731369148207,0.12052380949972913,0.26298917747671813,1.0,0.01
aim_aim-100-1_6-no-4,satlib_dimacs_aim,test,100,160,1.6,0.9152719665417378,0.8397867712553891,0.10391396311128231,0.73178243977875,0.8254682833752522,0.4916927113209335,0.01273860091851245,0.012738600912565384,0.01273860090406893,-4.728781255458614e-10,-1.1484690976004686e-09,0.19077846217867134,0.19077846213879943,0.18985414484833668,0.18985414481022594,0.0009243173303346564,0.0009243173285734818,0.5163619359728993,0.516361935027143,0.7656736633022754,0.06297981211832504,-4.350298020296446,0.19077846213879943,0.09257142855407073,0.23366411365357156,1.0,0.01
aim_aim-100-1_6-yes1-1,satlib_dimacs_aim,test,100,160,1.6,0.9189969804521566,0.8342349411237375,0.10391396311128231,0.7552652486340592,0.8334905001005897,0.49527221868195603,0.013473542054126686,0.01347354203886123,0.01347354205914668,-1.1484690976004686e-09,3.7767011740186263e-10,0.19870308799046985,0.19870308794902844,0.19740421976788886,0.19740421973065497,0.00129886822258099,0.0012988682183734668,0.7256015742372505,0.7256015719403123,0.7656736633022754,0.06297981211832504,-4.293462230531932,0.19870308794902844,0.08814285712667841,0.3007578532401689,1.0,0.01
aim_aim-100-1_6-yes1-2,satlib_dimacs_aim,test,100,160,1.6,0.9065791745972779,0.850772307756262,0.10391396311128231,0.7519888888830869,0.8339567006843387,0.49547997155165063,0.013517459124507743,0.013517459120831457,0.013517459114538397,-2.7569196925369965e-10,-7.47622769248224e-10,0.17540262055357486,0.17540262051699296,0.1765260229660077,0.17652602293032982,-0.0011234024124328335,-0.0011234024133368603,-0.6275791067883832,-0.6275791073397672,0.7656736633022754,0.06297981211832504,-4.290163508882827,0.17540262051699296,0.10304761902811384,0.2913968253802483,1.0,0.01
aim_aim-100-1_6-yes1-3,satlib_dimacs_aim,test,100,160,1.6,0.9055887764650791,0.8412878098250286,0.10391396311128231,0.7522914141357417,0.8306547972501519,0.4940079184595853,0.013209298858445092,0.013209298851003451,0.013209298858469507,-5.70905239749564e-10,1.873390331752489e-12,0.18865385704449025,0.18865385700522666,0.1882619052522523,0.18826190521506153,0.0003919517922379434,0.00039195179016512927,0.21896050155713803,0.21896050041532755,0.7656736633022754,0.06297981211832504,-4.313536920814833,0.18865385700522666,0.10425396823429103,0.29226118324497635,1.0,0.01
aim_aim-100-1_6-yes1-4,satlib_dimacs_aim,test,100,160,1.6,0.9183941222916255,0.8412878098250286,0.10391396311128231,0.7490502913695896,0.8333515029060082,0.4952102717694655,0.013460474298374549,0.013460474288446655,0.01346047429094106,-7.47622769248224e-10,-5.597806662649418e-10,0.18865385704449023,0.18865385700522663,0.18849620404636203,0.18849620400978662,0.00015765299812819933,0.00015765299544001632,0.08807149304009472,0.08807149154484918,0.7656736633022754,0.06297981211832504,-4.294445830044315,0.18865385700522663,0.08885714284053468,0.2830008324845416,1.0,0.01
aim_aim-100-2_0-no-1,satlib_dimacs_aim,test,100,200,2.0,1.0,1.0,0.19506313570019246,0.7212333333316793,0.8967924227336715,0.6124388719970759,0.08068486698376007,0.08068486701177369,0.08068486698353491,3.7767011740186263e-10,-3.0354538327337366e-12,0.0,0.0,-0.006493535951047879,-0.0064935359519205475,0.006493535951047879,0.0064935359519205475,3.627558074431785,3.627558075187125,0.7656736633022754,0.06297981211832504,-2.4330779363849535,0.0,0.0,0.20352380951908347,1.0,0.01
aim_aim-100-2_0-no-2,satlib_dimacs_aim,calibration,100,199,1.99,0.9980039920163664,0.964211879359233,0.1922558965125792,0.7235878787861085,0.8863365929894839,0.6048795848628441,0.07221815988369902,0.07221815988382452,0.07221815986522691,1.873390331752489e-12,-2.7569196925369965e-10,0.03711644858652701,0.03711644858031607,0.03781202851277652,0.03781202850650748,-0.0006955799262495094,-0.00069557992619141,-0.3885797502163517,-0.38857975021260494,0.7656736633022754,0.06297981211832504,-2.553105082860233,0.03711644858031607,0.0019999999996,0.21025108224602437,1.0,0.01
